id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
51,Softwoods,"Pine, ponderosa",Pinus ponderosa,Canada?,A.D.,7 railway sleepers,12.3,,433,0.39,0.032,53,74,9.6,53,7600,1080,53,0.077,0.018,53,0.079,0.017,53,0.51,0.094,53,39.8,5.1,53,2140,304,53,9.9,1.23,106,8.1,0.7,53,11.4,1.21,53
52,Softwoods,"Pine, radiata",Pinus radiata,Kenya,G.,4,88,641,,0.43,0.051,62,41,9.9,34,7700,2520,34,0.059,0.05,34,0.123,0.102,34,0.46,0.23,28,19.1,3.83,62,2180,474,34,5.8,0.97,54,7.5,1.05,35,9.1,1.46,35
53,Softwoods,"Pine, radiata",Pinus radiata,Kenya,A.D.,4,12,,513,0.46,0.055,62,85,22.2,30,9000,2680,30,0.112,0.063,30,0.147,0.139,30,0.58,0.26,31,48.1,8.94,62,3830,1050,30,12.8,2.25,54,16.1,3.64,34,13.0,2.51,34
54,Softwoods,"Pine, radiata",Pinus radiata,New Zealand,G.,134 joists,68,577,,0.39,0.044,167,38,7.4,162,6800,2060,162,0.073,0.026,40,,,,0.64,0.175,138,16.9,3.13,167,1820,389,165,5.0,0.76,296,6.0,0.83,140,8.4,1.32,140
55,Softwoods,"Pine, radiata",Pinus radiata,New Zealand,A.D.,128 joists,13.1,,465,0.42,0.05,157,85,16.6,149,8300,1990,149,0.099,0.03,37,,,,0.66,0.179,120,40.5,7.99,157,2670,592,150,13.1,1.84,285,9.1,2.22,134,11.9,2.22,134
56,Softwoods,"Pine, Scots",Pinus sylvestris,United Kingdom,G.,61,89,625,,0.42,0.052,1659,46,8.1,509,7300,1620,509,0.07,0.023,452,0.214,0.063,254,0.69,0.153,381,21.9,3.92,1659,2220,573,428,5.9,0.93,712,8.2,1.19,300,9.5,1.38,298
57,Softwoods,"Pine, Scots",Pinus sylvestris,United Kingdom,A.D.,61,12,,513,0.46,0.059,1387,89,16.9,387,10000,2130,385,0.103,0.032,290,0.134,0.053,183,0.71,0.167,323,47.4,9.25,1387,2980,697,472,12.7,2.45,564,10.3,1.82,255,13.0,2.47,254
58,Softwoods,"Pine, yellow",Pinus strobus,Canada,A.D.,56 planks,12,,433,0.38,0.04,158,80,10.9,101,8300,1440,101,0.089,0.015,29,0.097,0.019,29,0.56,0.1,56,42.1,6.14,158,2050,473,101,9.3,1.61,58,8.2,1.57,27,11.6,1.77,27
59,Softwoods,"Pine, yellow",Pinus strobus,United Kingdom,G.,13,114,433,,0.29,0.029,52,28,3.7,52,4800,1190,51,0.037,0.012,52,0.111,0.042,52,0.46,0.086,52,13.9,1.72,52,1250,304,52,4.8,0.53,104,,,,,,
60,Softwoods,"Pine, yellow",Pinus strobus,United Kingdom,A.D.,13,11.8,,352,0.31,0.031,52,53,8.2,51,5500,1210,51,0.072,0.014,51,0.076,0.016,51,0.46,0.073,51,30.7,4.52,52,1560,332,52,8.9,1.09,104,,,,,,
61,Softwoods,Podo,Podocarpus sp.,Kenya,G.,3,105,641,,0.43,0.046,141,48,5.2,42,6100,840,42,0.087,0.033,42,0.16,0.056,20,0.61,0.154,29,22.1,2.51,139,2490,683,43,6.3,1.15,48,9.3,1.74,25,11.7,1.14,25
62,Softwoods,Podo,Podocarpus sp.,Kenya,A.D.,3,12,,513,0.46,0.05,141,82,9.3,46,8100,840,46,0.09,0.041,46,0.103,0.042,42,0.66,0.18,34,43.0,3.51,139,3690,1068,51,13.7,2.07,57,9.3,1.55,31,11.7,2.02,31
63,Softwoods,"Redwood, Baltic",Pinus sylvestris,Europe,G.,252 planks,51,625,,0.41,0.051,2795,44,7.9,2628,7700,1610,2603,0.07,0.022,1360,0.186,0.052,1360,0.69,0.139,2405,21.0,3.72,2795,1960,416,2660,5.9,1.03,2727,6.7,1.08,1350,7.5,1.45,1351
64,Softwoods,"Redwood, Baltic",Pinus sylvestris,Europe,A.D.,60 planks,12.8,,481,0.43,0.055,693,83,13.1,666,10000,2040,661,0.098,0.022,347,0.12,0.039,347,0.66,0.14,633,45.0,7.63,693,2580,565,669,11.3,1.69,690,9.8,1.28,330,10.9,1.62,330
65,Softwoods,"Spruce, Norway",Picea abies,United Kingdom,G.,188,118,497,,0.33,0.041,2102,36,6.0,1422,6300,1270,1420,0.05,0.013,338,0.119,0.054,306,0.46,0.105,1398,17.0,3.16,2102,1420,303,1430,4.8,0.76,2752,6.5,0.94,138,7.4,1.15,135
66,Softwoods,"Spruce, Norway",Picea abies,United Kingdom,A.D.,188,13.4,,400,0.35,0.042,2032,66,10.4,1383,8500,1660,1382,0.074,0.021,336,0.111,0.042,331,0.51,0.115,1351,34.8,6.23,2032,2000,437,1462,9.4,1.44,2792,8.9,1.64,156,10.9,1.82,157
67,Softwoods,"Spruce, Serbian",Picea omorika,United Kingdom,G.,5,93,497,,0.33,0.02,53,35,3.8,10,6400,600,10,0.059,0.014,10,0.198,0.043,10,0.61,0.157,7,16.5,1.79,53,1470,222,10,4.6,0.47,40,7.4,1.15,15,8.6,1.3,15
68,Softwoods,"Spruce, Serbian",Picea omorika,United Kingdom,A.D.,5,12,,400,0.36,0.024,52,72,7.5,6,7600,1340,6,0.092,0.02,6,0.101,0.018,6,0.53,0.092,5,41.0,4.21,52,2710,432,6,12.1,1.04,38,11.6,1.86,13,14.4,1.58,13
69,Softwoods,"Spruce, Sitka",Picea sitchensis,Canada,G.,14,43,529,,0.35,0.035,737,39,5.3,380,8800,1490,380,0.04,0.01,380,0.147,0.021,125,0.51,0.13,189,18.3,2.64,755,1460,324,424,5.0,0.81,83,6.5,1.51,84,,,
70,Softwoods,"Spruce, Sitka",Picea sitchensis,Canada,A.D.,14,12,,433,0.39,,,74,,,10500,,,0.081,,,0.173,,,0.56,,,39.2,,,2200,,,7.7,,,8.8,,,,,
71,Softwoods,"Spruce, Sitka",Picea sitchensis,United Kingdom,G.,55 trees and 50 joists,69,481,,0.33,0.04,1291,34,7.0,393,5900,1310,392,0.058,0.019,137,0.17,0.065,132,0.56,0.228,280,16.1,3.06,1291,1560,388,609,4.5,0.83,706,5.8,1.23,345,7.2,1.28,345
72,Softwoods,"Spruce, Sitka",Picea sitchensis,United Kingdom,A.D.,54 trees and 50 joists,12,,384,0.34,0.044,1258,67,12.4,305,8100,1660,305,0.079,0.025,182,0.125,0.054,180,0.51,0.156,273,36.1,6.1,1258,2140,583,565,8.7,1.59,791,7.7,1.81,365,10.0,2.24,366
73,Softwoods,Whitewood,Picea abies,Europe,G.,30 planks,53,529,,0.35,0.035,343,39,5.5,319,7400,1170,304,0.057,0.014,171,0.138,0.059,171,0.53,0.12,255,18.2,2.62,343,1510,291,320,4.9,0.7,336,5.8,0.85,164,6.7,1.02,164
74,Softwoods,Whitewood,Picea abies,Europe,A.D.,30 planks,13.8,,417,0.38,0.037,338,72,10.2,324,10200,2010,324,0.086,0.022,174,0.116,0.04,174,0.58,0.116,310,36.5,5.26,270,2140,353,334,9.8,1.44,334,8.4,1.07,164,9.1,1.2,164
75,Softwoods,Whitewood,Picea abies,Yugoslavia,G.,8 joists,29,497,,0.33,0.032,92,36,4.8,50,6100,1250,50,0.055,0.018,16,0.09,0.041,16,0.43,0.122,44,19.6,2.65,48,1380,388,50,5.4,0.94,46,5.3,0.56,24,6.7,0.56,24
76,Softwoods,Whitewood,Picea abies,Yugoslavia,A.D.,8 joists,12,,384,0.35,0.036,46,73,9.1,32,8300,1270,32,0.084,0.023,11,0.105,0.034,11,0.43,0.092,17,37.2,4.7,46,1910,388,32,9.0,1.17,26,7.5,0.72,13,9.8,1.1,13
77,Softwoods,Yellowwood,Podocarpus guatemalensis,Belize,G.,3,44,657,,0.43,0.023,22,63,2.9,10,8100,1240,10,0.084,0.017,10,0.146,0.033,10,,,,30.9,2.5,20,2890,483,10,8.4,0.68,16,10.5,1.05,6,10.9,0.8,6
78,Softwoods,Yellowwood,Podocarpus guatemalensis,Belize,A.D.,3,12,,497,0.44,0.015,19,85,16.1,6,8900,1510,6,0.078,0.037,6,0.085,0.037,6,0.46,0.075,5,50.0,4.87,13,3160,308,12,13.2,0.93,6,10.0,1.26,6,10.0,0.37,3
79,Hardwoods,Abura,Mitragyna sp.,West Africa,G.,1,101,689,,0.46,0.029,25,54,5.6,17,8100,1400,17,0.058,0.014,17,0.116,0.017,9,0.69,0.1,6,27.3,3.46,25,3110,346,9,12.1,2.09,6,14.0,2.06,6,,,
80,Hardwoods,Abura,Mitragyna sp.,West Africa,A.D.,1,12,,545,0.49,0.045,22,83,11.7,12,9300,1570,12,0.082,0.026,12,0.134,0.031,4,0.64,0.133,7,46.5,8.12,22,3470,653,8,14.5,5.24,3,18.0,1.17,3,,,
81,Hardwoods,Afrormosia,Pericopsis elata,Ghana,G.,6,62,977,,0.65,0.053,123,108,16.5,121,11400,1200,121,0.164,0.072,40,0.393,0.105,40,1.35,0.242,128,53.8,9.09,123,7120,1204,121,13.1,2.03,120,18.4,2.19,46,23.6,2.93,46
82,Hardwoods,Afrormosia,Pericopsis elata,Ghana,A.D.,6,12,,737,0.66,0.045,138,134,21.1,66,12500,1350,66,0.155,0.071,19,0.301,0.141,19,1.09,0.252,58,71.4,6.53,138,6940,980,66,16.3,2.34,64,13.1,2.17,30,17.2,2.59,30
83,Hardwoods,Afzelia,Afzelia quanzensis,Tanzania,G.,1,47,1137,,0.76,0.057,24,89,20.4,24,8700,1340,24,0.107,0.056,24,0.363,0.138,24,1.04,0.436,24,47.0,7.84,23,7610,1058,24,13.4,2.32,24,18.7,1.63,11,21.4,2.22,11
84,Hardwoods,Afzelia,Afzelia quanzensis,Tanzania,A.D.,1,12,,865,0.77,0.038,26,97,29.6,26,8500,1380,26,0.104,0.065,26,0.18,0.126,26,0.71,0.287,26,71.0,8.11,26,9870,1263,26,19.7,2.4,26,12.3,1.29,13,17.2,2.08,13
85,Hardwoods,Afzelia,Afzelia sp.,West Africa,A.D.,3 logs and 17 planks,12,,817,0.73,0.035,256,125,26.6,65,13100,1760,65,0.1,0.043,65,0.203,0.087,49,0.79,0.242,66,79.2,12.02,241,7870,914,207,16.6,2.28,209,10.5,2.0,86,13.3,2.49,86
86,Hardwoods,Agba,Gossweilerodendron balsamiferum,West Africa,G.,12 logs,56,641,,0.42,0.044,719,52,8.7,238,6000,1360,238,0.072,0.025,191,0.183,0.063,191,0.66,0.183,223,24.3,4.27,244,2760,522,238,7.7,0.98,240,10.0,1.54,118,12.3,1.82,118
87,Hardwoods,Agba,Gossweilerodendron balsamiferum,West Africa,A.D.,17 logs,12,,497,0.44,0.034,521,81,11.6,363,7600,1250,363,0.091,0.027,100,0.137,0.039,73,0.61,0.174,320,43.2,5.13,521,3290,537,506,11.7,1.58,540,11.4,2.02,229,13.3,2.63,229
88,Hardwoods,"Albizia, West African",Albizia sp.,West Africa,A.D.,7 planks,12,,705,0.62,0.058,33,105,10.3,9,10700,1030,9,0.078,0.022,9,0.137,0.039,9,0.56,0.134,9,64.7,8.52,29,6180,1454,32,16.6,2.0,36,10.9,1.46,18,14.0,2.44,18
89,Hardwoods,"Alder, common",Alnus glutinosa,United Kingdom,G.,8,94,625,,0.42,0.022,164,49,6.1,17,7600,972,17,0.082,0.013,17,0.176,0.046,17,0.64,0.101,15,21.7,2.74,132,2220,240,109,6.3,0.93,36,9.6,1.61,15,11.7,0.91,51
90,Hardwoods,"Alder, common",Alnus glutinosa,United Kingdom,A.D.,8,12,,513,0.45,0.026,168,80,8.3,15,8800,1070,15,0.093,0.025,15,0.137,0.037,15,0.64,0.076,14,41.1,4.37,138,2940,425,132,12.2,1.59,68,13.3,1.53,34,15.8,1.81,34
91,Hardwoods,Alstonia,Alstonia boonei,Uganda,G.,1,123,497,,0.33,0.017,59,36,2.3,17,6400,230,17,0.035,0.018,17,0.07,0.004,6,0.41,0.0,9,20.1,1.33,54,1650,212,14,5.3,0.68,15,7.7,0.99,8,9.3,1.01,8
92,Hardwoods,Alstonia,Alstonia boonei,Uganda,A.D.,1,12,,400,0.35,0.014,57,59,2.4,8,8300,330,8,0.054,0.004,8,0.065,0.005,7,0.38,0.05,6,36.1,2.1,53,1820,140,20,6.6,0.72,25,8.1,1.07,10,10.0,1.67,10
93,Hardwoods—contd.,Antiari,Antiaria toxicaria,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Hardwoods—contd.,Antiari,Antiaria toxicaria,West Africa,A.D.,8 planks,12,,433,0.38,0.048,91,59,9.3,28,7200,124,28,0.041,0.014,28,0.058,0.025,28,0.36,0.098,22,37.4,4.46,83,2270,642,68,,,,8.1,1.36,38,9.6,2.67,38
95,Hardwoods—contd.,Araracanga,Aspidosperma sp.,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Hardwoods—contd.,Araracanga,Aspidosperma sp.,Brazil,A.D.,6 planks,12,,833,0.74,0.039,60,132,15.4,12,16300,1480,12,0.097,0.012,12,0.199,0.042,12,0.91,0.154,12,85.6,9.87,60,7340,1126,52,,,,12.1,2.52,11,13.3,2.27,14
97,Hardwoods—contd.,"Ash, European",Fraxinus excelsior,United Kingdom,G.,67,48,801,,0.53,0.044,204,66,10.9,204,9500,1880,204,0.172,0.06,204,0.375,0.095,204,1.17,0.352,204,27.2,4.92,204,4270,705,204,,,,,,,,,
98,Hardwoods—contd.,"Ash, European",Fraxinus excelsior,United Kingdom,A.D.,67,12,,689,0.6,0.056,201,116,16.6,201,11900,2170,201,0.182,0.045,201,0.281,0.097,201,1.07,0.216,201,53.3,7.73,201,6140,1158,201,,,,,,,,,
99,Hardwoods—contd.,Avodiré,Turraeanthus africanus,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hardwoods—contd.,Avodiré,Turraeanthus africanus,West Africa,A.D.,3 logs,12,,577,0.52,0.036,105,92,14.6,29,9600,1360,29,0.079,0.03,29,0.114,0.043,29,0.61,0.15,28,51.4,4.97,100,4800,726,87,,,,14.9,1.9,39,20.5,3.23,39
101,Hardwoods—contd.,Ayan,Distemonanthus benthamianus,West Africa,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Hardwoods—contd.,Ayan,Distemonanthus benthamianus,West Africa,A.D.,9 planks,12,,673,0.59,0.044,95,108,13.4,24,11400,990,24,0.108,0.033,24,0.189,0.053,24,0.84,0.147,23,57.3,5.36,92,5470,898,83,,,,11.7,1.8,38,12.8,1.74,38
103,Hardwoods—contd.,Balsa,Ochroma sp.,Tropical America,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Hardwoods—contd.,Balsa,Ochroma sp.,Tropical America,A.D.,11,,,176,0.16,0.035,12,23,7.3,30,3200,1060,30,0.018,0.007,30,0.035,0.017,30,,,,15.5,4.43,12,,,,,,,,,,,,
105,Hardwoods—contd.,Baromalli,Catostemma commune,Guyana,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Hardwoods—contd.,Baromalli,Catostemma commune,Guyana,A.D.,2,12,,593,0.53,0.05,111,81,9.6,25,11700,1450,25,0.07,0.018,25,0.197,0.068,13,0.66,0.095,25,48.2,6.23,108,3160,828,106,,,,9.6,1.35,35,9.6,2.33,31
107,Hardwoods—contd.,"Beech, European",Fagus sylvatica,United Kingdom,G.,36,88,833,,0.55,0.034,1169,65,9.0,358,9800,1300,358,0.111,0.026,358,0.23,0.063,123,0.91,0.143,156,27.6,4.96,1169,4270,624,272,,,,16.1,1.96,154,23.3,3.14,155
108,Hardwoods—contd.,"Beech, European",Fagus sylvatica,United Kingdom,A.D.,36,12,,689,0.62,0.037,878,118,11.0,183,12600,1220,182,0.146,0.039,183,0.239,0.067,76,1.14,0.147,112,56.3,6.54,878,6410,890,222,,,,17.3,4.96,128,24.9,4.78,128
109,Hardwoods—contd.,"Beech, European",Fagus sylvatica,Italy,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Hardwoods—contd.,"Beech, European",Fagus sylvatica,Italy,A.D.,5 planks,12,,673,0.6,0.028,23,108,14.3,23,10100,1870,23,0.146,0.035,7,0.211,0.059,7,0.99,0.162,23,51.8,6.01,23,5650,668,23,,,,18.4,2.15,12,28.0,3.55,12
111,Hardwoods—contd.,Belian,Eusideroxylon zwageri,Sabah,G.,5,40,1282,,0.86,0.058,36,143,19.5,36,17700,2910,36,0.139,0.037,36,0.288,0.106,36,1.17,0.308,34,79.9,11.25,36,12630,2154,36,,,,,,,,,
112,Hardwoods—contd.,Belian,Eusideroxylon zwageri,Sabah,A.D.,5,10.7,,1025,0.91,0.074,36,178*,33.2,28,18300*,3060,28,0.174*,0.054,28,0.290*,0.102,28,1.09,0.267,31,93.9,13.35,36,13430,2910,34,,,,,,,,,
113,Hardwoods—contd.,Berlinia,Berlinia confusa,Nigeria,G.,5,75,849,,0.57,0.05,482,72,13.3,149,9100,2100,149,0.092,0.035,149,0.238,0.076,35,0.74,0.214,18,34.0,5.25,182,4450,,,,,,13.8,,,18.2,,
114,Hardwoods—contd.,Berlinia,Berlinia confusa,Nigeria,A.D.,5,12,,689,0.61,0.047,516,105,18.9,160,10800,1780,160,0.112,0.043,40,0.211,0.091,40,0.79,0.253,19,53.0,6.52,161,6050,,,,,,15.1,,,20.5,,
115,Hardwoods—contd.,Binuang,Octomeles sumatrana,Sabah,G.,5,69,481,,0.32,0.036,250,37,5.9,82,5300,940,81,0.032,0.01,79,0.068,0.024,78,0.36,0.073,9,21.8,3.36,73,1380,,,,,,5.3,,,7.4,,
116,Hardwoods—contd.,Binuang,Octomeles sumatrana,Sabah,A.D.,5,12,,352,0.32,0.054,144,52,8.0,63,6300,1130,63,0.052,0.016,20,0.078,0.026,20,0.33,0.101,6,33.1,5.72,144,1650,,,,,,6.7,,,8.9,,
117,Hardwoods—contd.,"Birch, European",Betula sp.,United Kingdom,G.,8,76,801,,0.53,0.029,59,63,5.1,6,9900,410,6,0.107,0.024,6,0.311,0.102,6,0.76,0.134,1,26.3,3.12,36,3200,,,,,,13.3,,,14.5,,
118,Hardwoods—contd.,"Birch, European",Betula sp.,United Kingdom,A.D.,8,12,,673,0.6,0.037,76,123,7.6,5,13300,800,5,0.154,0.066,5,0.259,0.107,5,1.04,0.185,5,59.9,5.2,47,5470,,,,,,19.3,,,20.8,,
119,Hardwoods—contd.,Blackbutt,Eucalyptus pilularis,Australia,G.,3,68,897,,0.6,0.045,23,87,2.8,5,12800,1240,5,0.092,0.015,5,0.209,0.072,4,0.89,0.072,,45.2,4.22,14,5600,,,,,,16.5,,,18.0,,
120,Hardwoods—contd.,Blackbutt,Eucalyptus pilularis,Australia,A.D.,3,12,,753,0.68,0.038,9,149,10.9,4,16800,2220,4,0.17,0.039,4,0.301,0.121,4,1.04,0.072,,81.3,6.38,8,6940,,,,,,10.0,,,12.1,,
121,Hardwoods—contd.,"Cabbage bark, black",Lonchocarpus castilloi,Belize,G.,1,61,1169,,0.78,0.02,23,128,3.0,6,15400,1100,6,0.137,0.028,6,0.302,,2,1.04,0.088,3,65.5,3.63,17,11610,,,,,,23.8,,,27.3,,
122,Hardwoods—contd.,"Cabbage bark, black",Lonchocarpus castilloi,Belize,A.D.,1,12,,897,0.8,0.02,24,175,4.1,3,16800,700,3,0.164,0.012,3,0.319,0.021,3,1.04,,,88.6,3.63,24,11790,,,,,,18.9,,,19.8,,
123,Hardwoods—contd.,"'Camphorwood, East African'",Ocotea usambarensis,Kenya,G.,11,59,769,,0.51,0.04,225,59,8.0,93,8100,1890,93,0.061,0.021,93,0.135,0.048,31,0.64,0.091,31,30.6,4.45,205,3380,,,,,,13.7,,,16.5,,
124,Hardwoods—contd.,"'Camphorwood, East African'",Ocotea usambarensis,Kenya,A.D.,11,12,,593,0.53,0.04,211,92,15.1,54,9900,2040,54,0.08,0.026,54,0.147,0.049,19,0.66,0.163,20,52.3,7.03,196,4140,,,,,,13.7,,,18.0,,
125,Hardwoods—contd.,"Canarium, African",Canarium schweinfurthii,Nigeria,G.,4,94,593,,0.4,0.035,86,41,8.3,35,6200,1180,35,0.043,0.012,15,0.112,0.043,15,0.43,0.119,33,21.6,2.9,86,2310,,,,,,7.7,,,10.0,,
126,Hardwoods—contd.,"Canarium, African",Canarium schweinfurthii,Nigeria,A.D.,4,12,,497,0.44,0.044,89,70,10.6,29,8100,1120,29,0.049,0.02,15,0.081,0.037,15,0.46,0.147,27,42.5,4.84,89,2980,,,,,,10.5,,,13.3,,
127,Hardwoods—contd.,Cassine,Cassine buchananii,Kenya,A.D.,4 planks,12,,801,0.71,0.039,15,135,7.4,3,14800,1440,3,0.119,0.007,3,0.226,0.015,3,1.04,0.106,3,69.0,4.31,13,7650,,,,,,13.7,,,18.0,,
128,Hardwoods—contd.,"Cedar, Central American",Cedrela odorata,Nigeria,G.,5,82,433,,0.29,0.026,49,37,4.3,47,5200,720,47,,,,,,,0.33,0.049,47,18.8,2.21,49,1290,,,,,,,,,,,
129,Hardwoods—contd.,"Cedar, Central American",Cedrela odorata,Nigeria,A.D.,5,15.5,,336,0.3,0.024,49,49,5.0,49,5900,800,49,,,,,,,0.43,0.078,47,28.3,2.58,49,1420,,,,,,,,,,,
130,Hardwoods—contd.,"Celtis, African",Celtis spp.,West Africa,G.,4,59,961,,0.64,0.031,35,90,9.1,16,12800,1070,16,0.092,0.03,16,0.235,0.062,15,0.89,0.136,19,44.9,3.12,68,6180,,,,,,19.8,,,19.8,,
131,Hardwoods—contd.,"Celtis, African",Celtis spp.,West Africa,A.D.,5,12,,785,0.69,0.032,102,144,9.0,38,15900,1250,38,0.154,0.031,38,0.272,0.081,38,1.32,0.211,37,72.9,4.13,66,7470,,,,,,16.5,,,20.8,,
132,Hardwoods,"Cherry, European",Prunus avium,United Kingdom,G.,8,78,753,,0.5,0.026,78,64,3.9,8,8300,740,8,0.145,0.025,8,0.387,0.057,8,1.04,0.077,5,27.8,2.06,76,4140,313,17,9.2,1.09,28,14.9,1.66,6,18.9,2.34,11
133,Hardwoods,"Cherry, European",Prunus avium,United Kingdom,A.D.,8,12,,625,0.56,0.023,57,110,10.4,3,10200,820,3,0.15,0.041,3,0.264,0.012,3,1.09,0.261,3,54.5,4.25,53,5780,669,23,16.5,1.62,20,18.9,3.91,10,24.9,2.11,10
134,Hardwoods,"Chestnut, sweet",Castanea sativa,United Kingdom,G.,13,124,657,,0.44,0.031,271,52,7.0,35,7200,1650,35,0.077,0.018,35,0.158,0.056,18,0.66,0.113,16,24.2,4.26,271,3160,329,73,7.5,0.77,62,11.7,0.99,33,13.3,1.5,28
135,Hardwoods,"Chestnut, sweet",Castanea sativa,United Kingdom,A.D.,13,12,,513,0.46,0.031,166,79,6.1,18,8200,850,18,0.066,0.013,20,0.077,0.021,13,0.58,0.068,11,44.4,6.54,166,3070,564,78,10.5,1.7,66,13.3,1.62,34,14.5,2.52,34
136,Hardwoods,Coachwood,Ceratopetalum apetalum,Australia,G.,1,106,753,,0.5,0.009,35,59,2.7,15,11000,620,15,0.052,0.019,15,0.17,0.014,4,0.76,0.062,10,28.3,1.69,34,3340,182,12,7.9,0.5,8,12.4,1.27,7,17.7,0.75,7
137,Hardwoods,Coachwood,Ceratopetalum apetalum,Australia,A.D.,1,12,,641,0.58,0.012,36,110,3.3,9,13600,680,9,0.159,0.021,9,0.259,0.026,9,0.99,0.068,5,56.9,3.57,33,5120,268,8,12.3,1.41,13,18.9,1.55,5,20.1,2.98,5
138,Hardwoods,Coigue,Nothofagus dombeyi,Chile,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Hardwoods,Coigue,Nothofagus dombeyi,Chile,A.D.,1 plank,12,,625,0.55,0.01,6,97,2.1,3,11300,330,3,0.103,0.011,3,0.125,0.002,3,,,,56.5,4.3,5,3690,127,5,12.5,1.35,6,16.1,0.94,3,15.8,0.14,3
140,Hardwoods,"Cordia, African",Cordia millenii,Nigeria,G.,3,61,545,,0.36,0.058,26,54,12.1,26,6100,1110,26,,,,,,,0.53,0.138,26,26.3,5.73,26,2450,686,26,7.1,1.68,52,,,,,,
141,Hardwoods,"Cordia, African",Cordia millenii,Nigeria,A.D.,3,11.8,,417,0.38,0.064,26,67,13.4,26,6900,1080,26,,,,,,,0.48,0.104,26,35.9,6.96,26,2620,751,26,8.9,2.02,52,,,,,,
142,Hardwoods,Cramantee,Guarea excelsa,Belize,G.,3,144,689,,0.46,0.02,16,66,6.1,9,8400,810,9,0.089,0.04,9,0.154,0.033,9,,,,31.7,2.85,18,4000,568,6,10.0,1.24,8,16.1,1.78,4,18.0,0.5,4
143,Hardwoods,Cramantee,Guarea excelsa,Belize,A.D.,3,12,,545,0.48,0.02,16,88,8.3,8,9700,1640,8,0.073,0.016,8,0.137,0.031,5,,,,47.9,4.59,11,3600,308,8,12.6,1.18,10,8.8,1.6,4,10.9,1.32,4
144,Hardwoods,Curupay,Anadenanthera macrocarpa,Brazil,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Hardwoods,Curupay,Anadenanthera macrocarpa,Brazil,A.D.,1,12,,1041,0.93,0.053,27,202,19.5,4,17900,1270,4,0.257,0.087,4,0.503,0.106,4,,,,97.2,5.47,26,17080,2684,21,26.5,2.36,12,16.8,2.96,6,29.4,6.41,5
146,Hardwoods,Dahoma,Piptadeniastrum africanum,Nigeria and Uganda,G.,5,96,849,,0.57,0.068,88,76,16.7,33,9900,2460,33,0.11,0.056,17,0.305,0.105,17,0.89,0.261,34,36.7,9.38,88,5870,1179,33,11.2,2.0,48,13.5,1.94,23,23.3,3.47,23
147,Hardwoods,Dahoma,Piptadeniastrum africanum,Nigeria and Uganda,A.D.,5 trees and 4 planks,12,,689,0.61,0.066,186,109,25.4,121,11200,2350,122,0.121,0.048,110,0.259,0.111,110,0.84,0.327,117,58.7,10.11,186,6850,1323,122,17.6,3.16,156,14.9,2.36,70,23.3,3.39,71
148,Hardwoods,Danta,Nesogordonia papaverifera,Nigeria,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Hardwoods,Danta,Nesogordonia papaverifera,Nigeria,A.D.,2 planks,12,,833,0.74,0.041,37,137,10.4,11,11700,450,11,0.172,0.049,11,0.324,0.09,11,1.09,0.303,11,69.3,2.12,30,9520,1133,36,21.2,1.01,30,28.9,2.98,8,30.1,6.15,8
150,Hardwoods,"Ebony, African",Diospyros ?crassiflora,Nigeria,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Hardwoods,"Ebony, African",Diospyros ?crassiflora,Nigeria,A.D.,6,12,,1009,0.9,0.043,47,189,15.3,13,17700,1830,13,0.236,0.064,13,0.529,0.259,11,1.5,0.259,11,92.0,7.62,32,14320,1264,37,19.4,4.94,36,12.8,4.0,14,17.7,3.03,14
