id,class,species_common_name,species_botanical_name,origin,condition,trees_sampled,moisture_content_pct,density_50mc_kg_m3,density_12mc_kg_m3,specific_gravity_mean,specific_gravity_std,specific_gravity_n,static_bending_mor_mpa_mean,static_bending_mor_mpa_std,static_bending_mor_mpa_n,static_bending_moe_mpa_mean,static_bending_moe_mpa_std,static_bending_moe_mpa_n,work_to_maximum_load_mean,work_to_maximum_load_std,work_to_maximum_load_n,work_total_fracture_mean,work_total_fracture_std,work_total_fracture_n,impact_drop_height_m_mean,impact_drop_height_m_std,impact_drop_height_m_n,compression_parallel_mpa_mean,compression_parallel_mpa_std,compression_parallel_mpa_n,hardness_side_grain_n_mean,hardness_side_grain_n_std,hardness_side_grain_n_n,shear_parallel_mpa_mean,shear_parallel_mpa_std,shear_parallel_mpa_n,cleavage_radial_n_mm_mean,cleavage_radial_n_mm_std,cleavage_radial_n_mm_n,cleavage_tangential_n_mm_mean,cleavage_tangential_n_mm_std,cleavage_tangential_n_mm_n
424,Hardwoods,Wamara,Swartzia leiocalycina,Guyana,G.,4,38,1298,,0.87,0.048,283,148,19.5,101,17100,2660,101,0.181,0.052,28,0.386,0.113,27,1.35,0.26,88,72.6,10.18,94,11390,1796,101,16.7,2.97,80,16.8,2.44,47,28.0,4.79,47
425,Hardwoods,Wamara,Swartzia leiocalycina,Guyana,A.D.,4,12,,1057,0.94,0.049,108,225,28.3,52,22200,2270,52,0.269,0.041,13,0.448,0.074,13,1.63,0.334,51,114.5,11.46,108,18950,2840,52,27.9,3.6,56,34.5,5.71,31,41.8,9.3,31
426,Hardwoods,"Wattle, black",Acacia mollissima,South Africa,G.,114 sticks,72,897,,0.6,0.029,98,80,14.1,14,11200,2870,14,,,,,,,1.4,0.244,10,35.6,6.64,78,5690,793,27,11.2,1.36,42,,,,,,
427,Hardwoods,"Wattle, black",Acacia mollissima,South Africa,A.D.,46 sticks,12,,721,0.64,0.062,57,121,32.7,7,14400,2580,7,,,,,,,1.35,0.036,4,60.5,8.66,47,7780,1560,21,15.5,1.66,17,,,,,,
428,Hardwoods,"Willow, crack",Salix fragilis,United Kingdom,G.,10,101,529,,0.35,0.019,70,35,2.0,10,5600,870,10,0.082,0.023,10,0.318,0.026,7,0.86,0.217,7,14.8,1.56,70,1910,86,9,4.8,0.77,12,9.6,0.67,4,11.2,1.26,4
429,Hardwoods,"Willow, crack",Salix fragilis,United Kingdom,A.D.,10,12,,433,0.39,0.018,77,66,6.1,9,7000,1130,9,0.114,0.011,9,0.248,0.04,4,0.74,0.041,4,28.1,0.41,77,2890,190,21,8.3,0.82,16,11.7,1.12,12,15.2,0.81,12
430,Hardwoods,"Willow, cricket bat",Salix alba var. coerulea,United Kingdom,G.,10,90,513,,0.34,0.02,62,31,1.9,7,5600,430,7,0.072,0.013,7,0.292,,3,0.97,0.131,4,13.6,1.43,62,1820,174,17,4.4,0.65,16,7.7,0.6,8,10.9,1.13,8
431,Hardwoods,"Willow, cricket bat",Salix alba var. coerulea,United Kingdom,A.D.,10,12,,417,0.37,0.016,70,62,6.3,5,6600,850,5,0.116,0.026,5,0.316,,2,0.74,0.147,3,27.3,2.19,70,2580,330,18,8.1,1.15,10,11.2,1.05,10,16.1,1.48,10
432,Hardwoods,"Willow, white",Salix x alba,United Kingdom,G.,15,113,529,,0.36,0.027,201,36,4.2,26,4800,1150,26,0.158,0.102,26,0.308,0.085,15,0.91,0.346,28,14.7,2.08,174,2050,334,167,5.2,0.61,66,9.3,1.55,68,12.1,1.27,68
433,Hardwoods,"Willow, white",Salix x alba,United Kingdom,A.D.,15,12,,433,0.38,0.024,208,63,5.8,30,5800,1140,30,0.141,0.042,30,0.291,0.108,19,0.76,0.129,26,28.4,2.59,170,2400,392,122,9.4,1.01,102,12.4,1.65,46,15.8,1.87,46
434,Hardwoods,Yaruru,Aspidosperma excelsum,Guyana,G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Hardwoods,Yaruru,Aspidosperma excelsum,Guyana,A.D.,28 pieces,12,,897,0.8,0.043,83,200,15.9,28,20300,1570,28,0.234,0.053,28,0.41,0.122,28,1.55,0.221,28,100.9,5.06,27,10450,1856,28,22.5,1.93,24,13.0,2.03,24,20.5,3.12,13
